trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-214.0878538371939,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-129.25597897053012,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-170.95477236504132,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-188.09701424174116,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-112.9709447491821,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-17.99759790372379,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-78.22396570769128,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-191.16286419697775,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-24.116718644860455,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,6,-60.43761768481598,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-125.32617444961869,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-92.78203181244035,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,0.5236866929179622,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-106.93506722152955,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-171.22740093193954,"{0: 12, 1: 8, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-85.64810928795808,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-44.41039766450996,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-122.27710200105162,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-144.17043458606872,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-176.82738571508423,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-101.8216055621469,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.9549393489,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.95990935009164,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.2717757049083,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-80.64521417255948,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-105.35575336684083,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-119.33559587890215,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.1306865069549,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-134.52201706690283,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-56.126748964903456,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
