trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.7648421872844885}",20,0,-139.35389739269206,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.16996714290024104}",30,14,-19.57894056249963,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.5048461045998571}",25,0,-77.3642564898859,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9422223406686581}",30,0,-75.25960734664395,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.9364566872907963}",20,0,-80.4337601165713,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.4902608213407002}",25,0,22.228015909245002,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.18651236942257488}",25,17,3.7989622970289605,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.7755658785102496}",20,0,-100.23398966412178,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9998586363834151}",25,0,-8.848358209813991,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.7539022543433046}",20,0,-21.44328475720687,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.15337386203786524}",25,0,-22.948637432768987,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.5192886541166841}",20,0,-77.27145620873466,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.9477216021311119}",20,0,17.30168209092989,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.9304262721047539}",20,0,-50.558788162605545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.47553692799599256}",25,15,11.887021097964618,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.2030048638187504}",20,14,11.142360598722036,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.7860702961410383}",20,8,17.75821221715612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.9994345855010047}",20,0,22.152528190502156,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.7427491727036707}",20,0,-27.628875682300155,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.1367372182078336}",20,0,-16.885387390976323,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.5335843865891177}",30,0,-26.497254933685674,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.9529529168871798}",20,4,-104.87563596698342,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 3}",1
23,False,"{'a': 0.7, 'e': 0.9241328000731309}",30,21,-27.890713910449694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.7, 'e': 0.4606785874113657}",20,0,13.306867497250838,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.2194399632114593}",20,0,24.433748681796708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.7963524702919231}",25,0,-18.454340049199104,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.9987279672435017}",20,9,4.723485006485601,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.7313860956454992}",20,0,-191.92349849934516,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
29,False,"{'a': 0.7, 'e': 0.12006191504243026}",20,0,18.37916334263526,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.5477292602242684}",20,2,0.11511918102691521,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.9579148059017156}",20,0,0.4896477912507947,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.9175780505318613}",20,0,-12.075940177080263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.4456900004443364}",30,20,17.759988534094862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.23581302095051915}",30,18,7.659093119061597,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.8064094939122546}",20,2,-41.26994169595237,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.9977389813911304}",30,0,30.000693993933233,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.7198162358201257}",20,7,17.87701321464297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.1033526671039744}",25,0,-11.768562922790565,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.5617192758811469}",20,0,25.033597498933013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.9626058663135666}",30,0,-52.58389946272643,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
41,False,"{'a': 0.7, 'e': 0.9107638766871473}",25,2,-30.50177904485263,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
42,False,"{'a': 0.7, 'e': 0.43057540477663}",20,2,-18.801308845278108,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.2521194079266237}",20,0,22.272073699503885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.8162385236075683}",20,0,-31.078731280487883,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.9964679075571252}",25,8,27.12269826523941,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.7080428643420107}",25,0,-133.19807379859694,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 4}",0
47,False,"{'a': 0.7, 'e': 0.08661419855190752}",20,0,23.816496766654318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.5755504782013374}",25,0,-40.918436838433465,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.9670247718322008}",30,0,35.85595805990203,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.9036922050915067}",20,6,23.44679770143236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.4153390737160634}",25,0,18.59454855836933,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.26835451388009673}",20,0,20.455483400791582,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.8258367804434961}",30,0,36.56601740894256,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.7, 'e': 0.9949151051086736}",25,0,-0.7647263840606568,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.7, 'e': 0.6960693098638897}",20,0,29.597598546050055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.06985124180713438}",30,0,41.7035067854851,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
